Pelicula,Fecha-Estreno
The Shawshank Redemption,1994
El Padrino,1972
The Dark Knight,2008
El padrino (parte II),1974
12 Angry Men,1957
Schindler's List,1993
The Lord of the Rings: The Return of the King,2003
Pulp Fiction,1994
The Lord of the Rings: The Fellowship of the Ring,2001
"El bueno, El malo y El feo",1966
Forrest Gump,1994
Fight Club,1999
The Lord of the Rings: The Two Towers,2002
El origen,2010
El imperio contraataca,1980
The Matrix,1999
GoodFellas,1990
One Flew Over the Cuckoo's Nest,1975
Se7en,1995
Shichinin no samurai,1954
It's a Wonderful Life,1946
The Silence of the Lambs,1991
Saving Private Ryan,1998
Cidade de Deus,2002
Interestelar,2014
La vita è bella,1997
The Green Mile,1999
La guerra de las galaxias,1977
Terminator 2: Judgment Day,1991
Back to the Future,1985
El viaje de Chihiro,2001
The Pianist,2002
Psycho,1960
Parásito,2019
Léon,1994
El rey león,1994
Gladiator,2000
American History X,1998
The Departed,2006
The Usual Suspects,1995
The Prestige,2006
Whiplash. Música y obsesión,2014
Casablanca,1942
Seppuku,1962
La tumba de las luciérnagas,1988
The Intouchables,2011
Modern Times,1936
Hasta que llegó su hora,1968
Rear Window,1954
Nuovo Cinema Paradiso,1988
Alien,1979
City Lights,1931
Apocalypse Now,1979
Memento,2000
Django Unchained,2012
Raiders of the Lost Ark,1981
WALL·E,2008
The Lives of Others,2006
Sunset Blvd.,1950
Paths of Glory,1957
The Shining,1980
El gran dictador,1940
Avengers: Infinity War,2018
Witness for the Prosecution,1957
Aliens,1986
Spider-Man: un nuevo uiverso,2018
American Beauty,1999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Batman: El caballero de la noche asciende,2012
Oldeuboi,2003
Bastardos Sin Gloria,2009
Amadeus,1984
Coco,2017
Toy Story,1995
Guasón,2019
Braveheart,1995
Das Boot,1981
Avengers: Endgame,2019
Mononoke-hime,1997
Érase una vez en América,1984
Good Will Hunting,1997
Tu Nombre,2016
Singin' in the Rain,1952
3 Idiots,2009
Requiem for a Dream,2000
Tengoku to jigoku,1963
Toy Story 3,2010
Cafarnaúm-La ciudad olvidada,2018
El retorno del jedi,1983
Eternal Sunshine of the Spotless Mind,2004
2001. Odisea del espacio,1968
Reservoir Dogs,1992
Venga y vea,1985
La cacería,2012
Citizen Kane,1941
M - Eine Stadt sucht einen Mörder,1931
Lawrence of Arabia,1962
North by Northwest,1959
Ikiru,1952
Vertigo,1958
The Apartment,1960
Le fabuleux destin d'Amélie Poulain,2001
A Clockwork Orange,1971
Double Indemnity,1944
Full Metal Jacket,1987
Scarface,1983
Hamilton,2020
Incendies,2010
Top Gun,2022
To Kill a Mockingbird,1962
Heat,1995
The Sting,1973
Up,2009
Jodaeiye Nader az Simin,2011
Metropolis,1927
Taxi Driver,1976
L.A. Confidential,1997
Die Hard,1988
Cerdos y diamantes,2000
